barcode,product_name,brands,sugars_100g,fat_100g,fiber_100g,salt_100g,proteins_100g,energy_kcal_100g,quantity_grams,has_ingredients,nutrition_grades,sugar_pct_dv,sugar_tier,high_sugar_flag,shelf_location,units_sold_last_month,sugar_pct_dv_scaled
5010477347312,Simply Granola with a hint of honey,Jordans,17,11,6.3,0.03,11,417.777777777778,750.0,True,c,34.0,high,1,Aisle 1A,853,0.6538461538461539
4088600247458,malted wheaties,Harvest Morn,10.9,1.8,13.3,0.27,11.7,370,625.0,True,a,21.8,high,1,,,0.41923076923076924
20621469,Special Flakes Classic,Crownfield,8.8,1.8,8.1,0.5125,8.9,386,500.0,True,a,17.6,moderate,0,Endcap-South,59,0.3384615384615385
5059319029702,Rice Krispies,Kellogg's,8,1.33333333333333,3,0.9825,7,338.591459528361,430.0,True,c,16.0,moderate,0, Aisle 3C,108,0.3076923076923077
5070000126548,"GRANOLA LOW SUGAR, NATURALLY",Bio&Me,7.9,17.9,17,0.06,13.2,412,360.0,True,a,15.8,moderate,0, Aisle 3C,927,0.3038461538461539
3560070614202,COPOS DE AVENA FIOCCHI D'AVENA Integral - Integrale,Carrefour Original,0.7,7,10,0,14,372,500.0,True,a,1.4,low,0,Aisle 2B,149,0.02692307692307692
7613287152183,Shreddies,Nestlé,13,1.8,12,0.72,11,364,630.0,True,b,26.0,high,1, Aisle 3C,719,0.5
3387390326574,Céréales Cookie Crisp,Nestlé,22.4,5.2,6,0.66,6.7,393,375.0,True,c,44.8,high,1,Endcap-South,237,0.8615384615384615
20621483,Bran Flakes,"Crownfield, Lidl",13.2,2,17.2,0.63,11.1,362,500.0,True,b,26.400000000000002,high,1,,,0.5076923076923078
8402001015205,Avena Crunchy Cacao,Hacendado,9,6.4,11,0.18,13,393,400.0,True,a,18.0,moderate,0,Endcap-South,165,0.34615384615384615
3168930003632,Quaker Oats,Quaker,1.1,8,9,0.01,11,375,800.0,True,a,2.2,low,0,Aisle 2B,1129,0.04230769230769231
5059319014814,Corn Flakes,Kellogg's,8,0.9,3,1.1,7,378,500.0,True,d,16.0,moderate,0, Aisle 3C,0,0.3076923076923077
7613287195210,Cheerios Multigrain,"Cheerios, Nestlé",10,4.6667,2.7,0.83333,9.3333,383.3333,540.0,True,c,20.0,moderate,1,Aisle 4B,951,0.38461538461538464
5059319030517,kelloggs corn flakes,Kellogg's,8,0.9,3,1.1,7,378,,True,d,16.0,moderate,0,Aisle 2B,667,0.3076923076923077
8480000095367,"Muesli con quinoa, chía y chocolate negro",Hacendado,18,13,10,0.11,9.8,416,400.0,True,c,36.0,high,1,Aisle 4B,0,0.6923076923076923
00130509,Wheat Biscuits,Sainsbury's,4.4,2,10,0.28,12,133,,True,a,8.8,moderate,0,Endcap-South,671,0.16923076923076924
5060482841565,Nutty Granola,deliciously ella,16,18,8.2,0.22,12,462.222222222222,380.0,True,c,32.0,high,1,Aisle 2B,,0.6153846153846154
5010029226133,Alpen Original Muesli,"Weetabix, Alpen",21,5.6,7.7,0.25,11,374,550.0,True,c,42.0,high,1,Endcap-South,1039,0.8076923076923077
5010477353115,Crunchy Oat Granola Raisin & Almond,Jordans,21,12,6.2,0.03,11,417.777777777778,750.0,True,c,42.0,high,1,Endcap-South,0,0.8076923076923077
5059319023762,Miel Pops,KELLOG'S,22,1.5,4.6,0.4,5.2,384,330.0,True,c,44.0,high,1,Aisle 1A,793,0.8461538461538461
5010029202410,Weetabix,Weetabix,4.2,2,10,0.28,12,272,,True,a,8.4,moderate,0,Aisle 4B,186,0.16153846153846155
5010477348630,"Muesli bio 36% fruits, noix & graines",Jordans,18.9,8.4,8.5,0.03,9.3,373,500.0,True,c,37.8,high,1,Endcap-South,72,0.7269230769230769
5000436616443,Corn Flakes,Tesco,5.5,1.2,3.5,0.59,7.7,384,500.0,True,c,11.0,moderate,0, Aisle 3C,229,0.21153846153846154
3159470001424,Céréales All Bran Kellogg's Fibre Plus,Kellogg's,18,3.5,27,0.95,14,334,500.0,True,c,36.0,high,1,Endcap-South,562,0.6923076923076923
